"YEAR","WEEK","AGE.0.4","AGE.5.24","AGE.25.49","AGE.50.64","AGE.65","AGE.all"
2012,13,3807,5256,2485,920,549,13017
2012,14,3582,4631,2306,839,572,11930
2012,15,3253,4059,2109,767,544,10732
2012,16,3001,4020,1990,719,393,10123
2012,17,2638,3802,1831,664,435,9370
2012,18,2509,3671,1728,636,455,8999
2012,19,2524,3468,1559,606,419,8576
2012,20,2465,3087,1547,588,375,8062
2012,21,2545,3011,1461,483,378,7878
2012,22,2480,2601,1276,446,350,7153
2012,23,2336,2352,1281,458,338,6765
2012,24,2231,2024,1150,428,300,6133
2012,25,2259,1974,1119,411,285,6048
2012,26,2168,1850,1058,422,288,5786
2012,27,1911,1706,1013,388,273,5291
2012,28,1913,1751,964,337,220,5185
2012,29,1818,1640,914,318,241,4931
2012,30,1752,1721,975,372,283,5103
2012,31,1728,1706,1050,408,267,5159
2012,32,1660,1718,989,375,284,5026
2012,33,1721,1755,986,357,232,5051
2012,34,2098,2128,1194,425,296,6141
2012,35,1958,2335,1305,443,277,6318
2012,36,1886,2294,1317,481,318,6296
2012,37,2176,2870,1408,513,415,7382
2012,38,2295,2972,1530,511,348,7656
2012,39,2421,2867,1546,575,398,7807
2012,40,2773,3691,1814,702,415,9395
2012,41,2960,4007,1957,745,489,10158
2012,42,3202,4233,1902,760,488,10585
2012,43,3346,4268,2012,771,516,10913
2012,44,3326,4422,2032,797,484,11061
2012,45,3733,5145,2330,925,541,12674
2012,46,4034,5526,2569,897,597,13623
2012,47,4651,5387,2824,1105,683,14650
2012,48,5102,7018,3950,1498,953,18521
2012,49,6486,10857,4672,1791,1071,24877
2012,50,7446,12945,5692,2087,1262,29432
2012,51,8546,13971,7437,2730,1648,34332
2012,52,9709,11391,9295,3639,2554,36588
2013,1,8444,9108,9679,4080,2792,34103
2013,2,8297,13424,10877,4502,2796,39896
2013,3,8633,15992,8977,3523,2316,39441
2013,4,7441,13439,7021,2760,1765,32426
2013,5,6609,12653,6421,2551,1574,29808
2013,6,5757,10816,5236,1971,1207,24987
2013,7,5289,9395,4698,1894,1045,22321
2013,8,5099,8415,4357,1625,1023,20519
2013,9,4633,7981,4030,1619,968,19231
2013,10,4791,7709,3935,1536,858,18829
2013,11,4480,7065,3606,1352,889,17392
2013,12,3957,6095,3191,1270,741,15254
2013,13,3830,5204,2924,1124,632,13714
2013,14,3516,4299,2677,1106,675,12273
2013,15,3110,3929,2219,957,603,10818
2013,16,2707,3509,1757,724,491,9188
2013,17,2588,3364,1630,582,425,8589
2013,18,2439,3142,1470,565,370,7986
2013,19,2422,2877,1474,570,361,7704
2013,20,2431,2583,1345,565,393,7317
2013,21,2230,2219,1279,493,368,6589
2013,22,2109,2094,1147,483,357,6190
2013,23,1983,1779,1086,460,330,5638
2013,24,1969,1713,1112,468,277,5539
2013,25,1877,1766,1040,489,302,5474
2013,26,1703,1581,947,399,285,4915
2013,27,1594,1489,851,321,251,4506
2013,28,1576,1491,862,362,219,4510
2013,29,1432,1405,849,315,185,4186
2013,30,1416,1464,800,332,221,4233
2013,31,1216,1284,852,350,184,3886
2013,32,1367,1338,870,302,198,4075
2013,33,1364,1366,919,331,188,4168
2013,34,1331,1561,892,301,232,4317
2013,35,1499,1814,1014,410,316,5053
2013,36,1681,2035,1137,462,311,5626
2013,37,1926,2437,1217,440,354,6374
2013,38,2175,2683,1350,537,365,7110
2013,39,2393,2963,1500,648,459,7963
2013,40,2987,3783,1856,643,451,9720
2013,41,3288,3943,1929,760,533,10453
2013,42,3489,3885,2014,788,497,10673
2013,43,3935,4496,2292,815,515,12053
2013,44,4049,4642,2357,932,531,12511
2013,45,4435,5067,2513,963,536,13514
2013,46,4636,4999,2709,988,577,13909
2013,47,4775,5540,3062,1078,581,15036
2013,48,4936,4311,3025,1059,639,13970
2013,49,5553,6589,4383,1553,864,18942
2013,50,5502,7057,4465,1595,803,19422
2013,51,6559,8447,6522,2271,937,24736
2013,52,7730,7427,7449,2843,1299,26748
2014,1,7505,6738,9144,3559,1764,28710
2014,2,6220,7873,8805,3559,1632,28089
2014,3,6097,9604,8101,3163,1610,28575
2014,4,5853,8844,6798,2610,1327,25432
2014,5,5128,8706,6023,2400,1197,23454
2014,6,4740,7725,5299,2251,1123,21138
2014,7,4211,6700,4466,1826,969,18172
2014,8,4230,6090,4301,1683,870,17174
2014,9,3950,5872,3695,1501,890,15908
2014,10,3759,5575,3466,1430,791,15021
2014,11,3601,5012,3198,1358,815,13984
2014,12,3789,5604,3280,1421,807,14901
2014,13,3519,5798,3255,1299,775,14646
2014,14,3572,5649,3148,1435,804,14608
2014,15,3574,5581,2944,1312,784,14195
2014,16,3123,4273,2510,1086,708,11700
2014,17,2820,3755,2495,1033,660,10763
2014,18,2498,3594,2089,913,559,9653
2014,19,2752,3609,2002,833,524,9720
2014,20,2519,3226,1867,824,530,8966
2014,21,2703,3040,1721,746,463,8673
2014,22,2494,2428,1525,602,488,7537
2014,23,2378,2347,1488,608,398,7219
2014,24,2189,2131,1379,539,384,6622
2014,25,2117,1979,1285,522,382,6285
2014,26,2001,1857,1183,471,284,5796
2014,27,1798,1650,1057,400,274,5179
2014,28,1647,1534,1058,395,287,4921
2014,29,1108,1255,873,252,209,3697
